Time_Bucket,X_Real,Y_Real,1_Timestamp,1_RSSI,1_Azimuth,1_Elevation,1_Channel,1_Sequence,1_Azimuth_Var,1_RSSI_Var,1_Azimuth_Real,2_Timestamp,2_RSSI,2_Azimuth,2_Elevation,2_Channel,2_Sequence,2_Azimuth_Var,2_RSSI_Var,2_Azimuth_Real,3_Timestamp,3_RSSI,3_Azimuth,3_Elevation,3_Channel,3_Sequence,3_Azimuth_Var,3_RSSI_Var,3_Azimuth_Real,4_Timestamp,4_RSSI,4_Azimuth,4_Elevation,4_Channel,4_Sequence,4_Azimuth_Var,4_RSSI_Var,4_Azimuth_Real
54,315.0,328.1885904724564,254,-69.0,0.6,6.0,12.4,59760.0,20.799999999999997,127.49999999999997,-1.2249051076855981,254,-64.75,5.5,-4.5,13.75,59762.5,40.333333333333336,8.916666666666663,1.6461433815927626,254,-70.2,3.0,-8.2,11.8,59762.0,98.0,121.19999999999999,1.4807367257945572,254,-65.0,-1.0,0.25,13.25,59760.5,324.0,29.333333333333325,-1.1746860934267411
55,315.0,345.8321897667124,255,-64.0,3.0,0.5,20.75,59764.5,48.666666666666664,16.666666666666657,-2.945748307644216,255,-66.0,-6.5,-6.0,28.0,59766.5,164.33333333333334,35.333333333333336,3.3911700453163784,255,-64.0,-0.6666666666666666,-2.6666666666666665,30.0,59766.0,34.333333333333336,93.0,2.671289641718452,255,-66.25,11.75,-1.75,20.75,59764.5,62.25,34.916666666666664,-2.6712896417184777
56,315.0,363.47578906096845,256,-66.33333333333333,11.666666666666666,-2.3333333333333335,26.333333333333332,59768.0,312.33333333333337,49.33333333333331,-4.765152270294503,256,-63.25,23.5,-9.75,19.0,59770.5,725.6666666666666,58.25000000000002,5.235963373841401,256,-65.75,2.5,3.5,23.0,59769.5,13.666666666666666,118.25000000000001,4.0867285781839655,256,-63.75,5.0,15.25,21.25,59768.5,460.6666666666667,6.916666666666667,-4.0867285781839655
57,315.0,381.1193883552245,257,-64.4,-8.2,-7.6,15.0,59772.0,49.7,6.299999999999992,-6.687836238098725,257,-63.5,18.0,10.0,19.5,59774.5,2086.6666666666665,33.0,7.185164181973449,257,-65.5,1.75,0.25,12.0,59773.5,34.916666666666664,4.333333333333326,5.425837432235366,257,-63.75,8.0,2.75,17.25,59772.5,142.66666666666666,10.916666666666671,-5.42583743223534
58,315.0,398.7629876494805,258,-65.0,-13.75,8.25,24.25,59776.5,54.916666666666664,98.66666666666667,-8.718138035821298,258,-64.5,12.75,16.25,12.25,59778.5,210.91666666666666,61.666666666666664,9.24298481060851,258,-68.5,7.5,7.25,20.5,59777.5,379.6666666666667,51.00000000000001,6.693278082516184,258,-66.0,7.75,9.75,24.25,59776.5,749.5833333333334,1.9999999999999953,-6.693278082516159
59,315.0,416.40658694373656,259,-63.5,-6.5,4.5,12.5,59780.0,4.5,0.5,-10.859811916286127,259,-62.25,8.25,7.5,17.25,59782.5,121.58333333333333,44.25,11.412997662312062,259,-66.5,1.0,-1.75,9.0,59781.5,136.66666666666666,36.333333333333336,7.893508290686104,259,-68.0,-3.5,3.75,9.0,59780.5,179.66666666666666,30.0,-7.8935082906860785
60,315.0,434.0501862379926,260,-61.2,-18.6,-1.6,16.6,59784.0,40.80000000000001,31.7,-13.115789336868692,260,-62.25,4.0,-1.5,20.75,59786.5,629.3333333333334,72.24999999999999,13.697886961510891,260,-61.75,35.75,-20.0,26.0,59785.5,1246.25,6.249999999999997,9.03076232840495,260,-72.0,58.75,22.0,18.75,59784.5,193.58333333333337,48.666666666666664,-9.030762328404926
61,315.0,451.6937855322486,261,-60.5,-17.5,0.75,20.75,59788.5,30.333333333333332,23.000000000000004,-15.487905288040741,261,-66.25,18.5,-10.0,18.75,59790.5,269.6666666666667,54.25,16.099167398258018,261,-64.0,18.4,5.8,18.0,59790.0,54.3,6.000000000000001,10.317955001235683,261,-66.25,7.5,-6.75,20.75,59788.5,1771.0,21.58333333333334,-10.109040930971029
62,315.0,469.3373848265046,262,-61.666666666666664,-24.0,-3.3333333333333335,17.666666666666668,59792.0,124.0,21.33333333333333,-17.976597478804855,262,-59.0,24.25,0.75,13.25,59794.5,42.916666666666664,40.666666666666664,18.61687835087272,262,-68.66666666666667,33.333333333333336,-2.0,9.333333333333334,59794.0,286.3333333333333,17.33333333333333,11.132108294264674,262,-67.25,11.75,-2.5,14.25,59792.5,257.5833333333333,37.58333333333335,-11.1321082942647
63,315.0,486.9809841207606,263,-59.8,-28.8,-2.8,13.8,59796.0,68.20000000000002,7.700000000000005,-20.58059172508969,263,-55.25,21.5,0.75,13.75,59798.5,88.99999999999999,1.583333333333335,21.249268722270642,263,-67.4,28.6,8.2,16.0,59798.0,341.29999999999995,42.300000000000026,12.291864150642358,263,-66.25,25.75,-7.5,16.25,59796.5,178.25000000000003,37.58333333333331,-12.103494266797176
